INFO 2025-11-15 01:03:01,004 autoreload Watching for file changes with StatReloader
INFO 2025-11-15 23:02:47,818 autoreload Watching for file changes with StatReloader
WARNING 2025-11-15 23:02:51,599 log Not Found: /
WARNING 2025-11-15 23:02:51,600 basehttp "GET / HTTP/1.1" 404 3117
WARNING 2025-11-15 23:02:51,871 log Not Found: /favicon.ico
WARNING 2025-11-15 23:02:51,871 basehttp "GET /favicon.ico HTTP/1.1" 404 3168
INFO 2025-11-15 23:02:59,497 basehttp "GET /api/docs/ HTTP/1.1" 200 4639
INFO 2025-11-15 23:03:03,284 basehttp "GET /api/schema/ HTTP/1.1" 200 118791
INFO 2025-11-15 23:20:21,119 basehttp "GET /api/events/ HTTP/1.1" 200 2546
INFO 2025-11-15 23:20:21,204 basehttp "GET /api/events/ HTTP/1.1" 200 2546
INFO 2025-11-15 23:22:34,702 basehttp "OPTIONS /api/users/login/ HTTP/1.1" 200 0
WARNING 2025-11-15 23:22:35,112 log Unauthorized: /api/users/login/
WARNING 2025-11-15 23:22:35,113 basehttp "POST /api/users/login/ HTTP/1.1" 401 31
WARNING 2025-11-15 23:22:52,328 log Forbidden: /api/users/login/
WARNING 2025-11-15 23:22:52,328 basehttp "POST /api/users/login/ HTTP/1.1" 403 76
INFO 2025-11-15 23:23:45,944 basehttp "OPTIONS /api/users/register/ HTTP/1.1" 200 0
WARNING 2025-11-15 23:23:45,995 log Bad Request: /api/users/register/
WARNING 2025-11-15 23:23:45,996 basehttp "POST /api/users/register/ HTTP/1.1" 400 48
WARNING 2025-11-15 23:23:49,603 log Bad Request: /api/users/register/
WARNING 2025-11-15 23:23:49,603 basehttp "POST /api/users/register/ HTTP/1.1" 400 48
INFO 2025-11-15 23:26:04,299 basehttp "GET /api/events/ HTTP/1.1" 200 2546
INFO 2025-11-15 23:26:04,391 basehttp "GET /api/events/ HTTP/1.1" 200 2546
INFO 2025-11-15 23:26:26,663 basehttp "POST /api/users/login/ HTTP/1.1" 200 154
INFO 2025-11-15 23:27:12,428 basehttp "GET /api/events/ HTTP/1.1" 200 8584
INFO 2025-11-15 23:27:12,538 basehttp "GET /api/events/ HTTP/1.1" 200 8584
INFO 2025-11-15 23:55:21,610 basehttp "OPTIONS /api/tipos-boletas/ HTTP/1.1" 200 0
INFO 2025-11-15 23:55:21,614 basehttp "OPTIONS /api/tipos-boletas/ HTTP/1.1" 200 0
WARNING 2025-11-15 23:55:21,623 log Not Found: /api/tipos-boletas/
WARNING 2025-11-15 23:55:21,625 basehttp "GET /api/tipos-boletas/ HTTP/1.1" 404 10842
WARNING 2025-11-15 23:55:21,630 log Not Found: /api/tipos-boletas/
